""	"probe_id"	"symbol"
"1"	"p29521"	"MIR1302-2HG"
"2"	"p36796_v4"	"FAM138A"
"3"	"p36781_v4"	"FAM138A"
"4"	"p36608_v4"	"AL627309.1"
"5"	"p758"	"AL627309.1"
"6"	"p33355"	"AL627309.1"
"7"	"p36714_v4"	"AL627309.1"
"8"	"p39197_v4"	"AL627309.5"
"9"	"p39573_v4"	"AL627309.5"
"10"	"p35592_v4"	"AL627309.5"
"11"	"p39203_v4"	"AL627309.5"
"12"	"p39575_v4"	"AL627309.5"
"13"	"p41915_v4"	"AL627309.5"
"14"	"p39205_v4"	"AL627309.5"
"15"	"p16"	"AL627309.5"
"16"	"p28966"	"AL627309.4"
"17"	"p28966"	"AL627309.5"
"18"	"p24577"	"AL627309.5"
"19"	"p24783"	"AL627309.5"
"20"	"p42008_v4"	"AL627309.5"
"21"	"p25830"	"WASH9P"
"22"	"p8484"	"AP006222.1"
"23"	"p33951_v4"	"AP006222.1"
"24"	"p36608_v4"	"AP006222.1"
"25"	"p36780_v4"	"AL732372.1"
"26"	"p36780_v4"	"AP006222.1"
"27"	"p34577_v4"	"AL732372.1"
"28"	"p34577_v4"	"AL732372.2"
"29"	"p36525_v4"	"AL732372.2"
"30"	"p758"	"AL732372.2"
"31"	"p37762_v4"	"AL732372.2"
"32"	"p36532_v4"	"AL732372.2"
"33"	"p17949"	"AL732372.2"
"34"	"p759"	"AL732372.2"
"35"	"p36703_v4"	"AL732372.2"
"36"	"p756"	"AL732372.2"
"37"	"p39199_v4"	"AL732372.2"
"38"	"p39198_v4"	"AL732372.2"
"39"	"p16"	"AL732372.2"
"40"	"p7"	"AC114498.1"
"41"	"p7"	"AL669831.3"
"42"	"p10"	"AC114498.1"
"43"	"p10"	"AL669831.3"
"44"	"p17599"	"AC114498.1"
"45"	"p17599"	"AL669831.3"
"46"	"p34577_v4"	"AC114498.1"
"47"	"p34577_v4"	"AL669831.3"
"48"	"RNA143507|tRNA_424_69"	"MTND1P23"
"49"	"RNA143507|tRNA_424_69"	"AL669831.3"
"50"	"RNA143515|tRNA_432_69"	"MTND1P23"
"51"	"RNA143515|tRNA_432_69"	"AL669831.3"
"52"	"RNA143210|tRNA_127_73"	"AL669831.3"
"53"	"RNA143234|tRNA_151_73"	"AL669831.3"
"54"	"RNA143217|tRNA_134_73"	"AL669831.3"
"55"	"RNA143208|tRNA_125_73"	"AL669831.3"
"56"	"RNA143321|tRNA_238_73"	"AL669831.3"
"57"	"RNA143248|tRNA_165_73"	"AL669831.3"
"58"	"RNA143558|tRNA_475_66"	"AL669831.3"
"59"	"p44303_v4"	"MTCO1P12"
"60"	"p44303_v4"	"AL669831.3"
"61"	"RNA143539|tRNA_456_68"	"AL669831.3"
"62"	"RNA143541|tRNA_458_68"	"AL669831.3"
"63"	"RNA143540|tRNA_457_68"	"AL669831.3"
"64"	"RNA143544|tRNA_461_68"	"AL669831.3"
"65"	"RNA143548|tRNA_465_68"	"AL669831.3"
"66"	"RNA143543|tRNA_460_68"	"AL669831.3"
"67"	"RNA143542|tRNA_459_68"	"AL669831.3"
"68"	"p26926"	"MTCO2P12"
"69"	"p26926"	"AL669831.3"
"70"	"RNA143496|tRNA_413_70"	"MTCO2P12"
"71"	"RNA143496|tRNA_413_70"	"AL669831.3"
"72"	"p33355"	"AL669831.3"
"73"	"p36414_v4"	"AL669831.1"
"74"	"p36414_v4"	"AL669831.3"
"75"	"p36703_v4"	"AL669831.1"
"76"	"p36703_v4"	"AL669831.3"
"77"	"p756"	"AL669831.1"
"78"	"p756"	"AL669831.3"
"79"	"p39199_v4"	"AL669831.1"
"80"	"p39199_v4"	"AL669831.3"
"81"	"p3"	"AL669831.1"
"82"	"p3"	"AL669831.3"
"83"	"p39198_v4"	"AL669831.1"
"84"	"p39198_v4"	"AL669831.3"
"85"	"p39197_v4"	"AL669831.1"
"86"	"p39197_v4"	"AL669831.3"
"87"	"p17333"	"AL669831.1"
"88"	"p17333"	"AL669831.3"
"89"	"p40451_v4"	"AL669831.1"
"90"	"p40451_v4"	"AL669831.3"
"91"	"p16"	"AL669831.1"
"92"	"p16"	"AL669831.3"
"93"	"p24783"	"AL669831.1"
"94"	"p24783"	"AL669831.3"
"95"	"p36674_v4"	"AL669831.1"
"96"	"p36674_v4"	"AL669831.3"
"97"	"p735"	"AL669831.1"
"98"	"p735"	"AL669831.3"
"99"	"p36771_v4"	"AL669831.1"
"100"	"p36771_v4"	"AL669831.3"
"101"	"p39206_v4"	"AL669831.1"
"102"	"p39206_v4"	"AL669831.3"
"103"	"p39579_v4"	"AL669831.1"
"104"	"p39579_v4"	"AL669831.3"
"105"	"p41278_v4"	"AL669831.1"
"106"	"p41278_v4"	"AL669831.3"
"107"	"p762"	"AL669831.3"
"108"	"p762"	"LINC01409"
"109"	"p763"	"AL669831.3"
"110"	"p763"	"LINC01409"
"111"	"p36799_v4"	"AL669831.3"
"112"	"p36799_v4"	"LINC01409"
"113"	"p770"	"AL669831.3"
"114"	"p770"	"LINC01409"
"115"	"p766"	"AL669831.4"
"116"	"p766"	"AL669831.3"
"117"	"p766"	"LINC01409"
"118"	"p767"	"AL669831.4"
"119"	"p767"	"AL669831.3"
"120"	"p767"	"LINC01409"
"121"	"p764"	"AL669831.4"
"122"	"p764"	"AL669831.3"
"123"	"p764"	"LINC01409"
"124"	"p769"	"AL669831.4"
"125"	"p769"	"AL669831.3"
"126"	"p769"	"LINC01409"
"127"	"p34025_v4"	"AL669831.4"
"128"	"p34025_v4"	"AL669831.3"
"129"	"p34025_v4"	"LINC01409"
"130"	"p34027_v4"	"AL669831.4"
"131"	"p34027_v4"	"AL669831.3"
"132"	"p34027_v4"	"LINC01409"
"133"	"p28968"	"AL669831.4"
"134"	"p28968"	"AL669831.3"
"135"	"p28968"	"LINC01409"
"136"	"p771"	"AL669831.4"
"137"	"p771"	"AL669831.3"
"138"	"p771"	"LINC01409"
"139"	"p772"	"AL669831.4"
"140"	"p772"	"AL669831.3"
"141"	"p772"	"LINC01409"
"142"	"p17601"	"AL669831.3"
"143"	"p17602"	"AL669831.3"
"144"	"p36678_v4"	"LINC01128"
"145"	"p36678_v4"	"AL669831.3"
"146"	"p36801_v4"	"LINC01128"
"147"	"p25672"	"LINC01128"
"148"	"p25673"	"LINC01128"
"149"	"p18"	"LINC01128"
"150"	"p18"	"FAM41C"
"151"	"p19"	"FAM41C"
"152"	"p20"	"FAM41C"
"153"	"p17603"	"AL645608.6"
"154"	"p17335"	"AL645608.6"
"155"	"p36804_v4"	"AL645608.6"
"156"	"p22"	"LINC02593"
"157"	"p25674"	"AL390719.1"
"158"	"p36807_v4"	"AL645608.8"
"159"	"p36807_v4"	"AL390719.1"
"160"	"p28215"	"AL390719.1"
"161"	"p25"	"AL162741.1"
"162"	"p781"	"LINC01786"
"163"	"p782"	"LINC01786"
"164"	"p26"	"INTS11"
"165"	"p26"	"AL139287.1"
"166"	"p28926"	"LINC01770"
"167"	"p33734"	"ATAD3A"
"168"	"p17605"	"FNDC10"
"169"	"p36810_v4"	"AL691432.2"
"170"	"p33342"	"CDK11B"
"171"	"p28694"	"FO704657.1"
"172"	"p28694"	"SLC35E2B"
"173"	"p784"	"AL691432.1"
"174"	"p784"	"SLC35E2B"
"175"	"p33342"	"CDK11A"
"176"	"p33342"	"AL031282.2"
"177"	"p28694"	"AL031282.1"
"178"	"p28694"	"SLC35E2A"
"179"	"p28694"	"AL031282.2"
"180"	"p785"	"AL109917.1"
"181"	"p28927"	"PRKCZ-AS1"
"182"	"p28927"	"PRKCZ"
"183"	"p30"	"PRKCZ-AS1"
"184"	"p30"	"PRKCZ"
"185"	"p31"	"FAAP20"
"186"	"p17339"	"AL590822.1"
"187"	"RNA147803|p0907_imsncRNA730"	"MORN1"
"188"	"p36813_v4"	"AL513477.2"
"189"	"p36813_v4"	"MORN1"
"190"	"p17608"	"PLCH2"
"191"	"RNA147769|p0873_imsncRNA683"	"PANK4"
"192"	"p36816_v4"	"AL139246.5"
"193"	"p35"	"TNFRSF14-AS1"
"194"	"p37"	"TNFRSF14-AS1"
"195"	"p37"	"TNFRSF14"
"196"	"p36819_v4"	"AL590438.1"
"197"	"p36819_v4"	"PRDM16"
"198"	"p50"	"TP73-AS1"
"199"	"p25677"	"LINC01134"
"200"	"p36779_v4"	"LINC01346"
"201"	"p17617"	"LINC01777"
"202"	"p17346"	"AL365255.1"
"203"	"p17346"	"AL365255.1"
"204"	"p54"	"AL031847.1"
"205"	"p54"	"RPL22"
"206"	"p39219_v4"	"AL031847.1"
"207"	"p39219_v4"	"RPL22"
"208"	"p799"	"LINC00337"
"209"	"p36822_v4"	"AL031848.2"
"210"	"p36822_v4"	"ACOT7"
"211"	"p17622"	"LINC01672"
"212"	"p33645"	"CAMTA1"
"213"	"p24750"	"CAMTA1"
"214"	"p62"	"AL359881.2"
"215"	"p62"	"CAMTA1"
"216"	"p801"	"VAMP3"
"217"	"p801"	"Z98884.2"
"218"	"p33735"	"PARK7"
"219"	"p804"	"RERE-AS1"
"220"	"p804"	"RERE"
"221"	"p805"	"RERE-AS1"
"222"	"p805"	"RERE"
"223"	"p39228_v4"	"RERE-AS1"
"224"	"p39228_v4"	"RERE"
"225"	"p66"	"ENO1"
"226"	"p67"	"LNCTAM34A"
"227"	"p67"	"MIR34AHG"
"228"	"p808"	"LNCTAM34A"
"229"	"p808"	"MIR34AHG"
"230"	"p35533_v4"	"LINC02606"
"231"	"p69"	"PIK3CD-AS2"
"232"	"p69"	"PIK3CD"
"233"	"p39232_v4"	"PIK3CD-AS2"
"234"	"p39232_v4"	"PIK3CD"
"235"	"p809"	"AL357140.1"
"236"	"p809"	"CTNNBIP1"
"237"	"RNA147172|p0276_imsncRNA499"	"UBE4B"
"238"	"p811"	"AL354956.1"
"239"	"p811"	"DFFA"
"240"	"p17623"	"DFFA"
"241"	"RNA147163|p0267_imsncRNA458"	"CASZ1"
"242"	"p26954"	"CASZ1"
"243"	"p26999"	"CASZ1"
"244"	"p28220"	"MTOR"
"245"	"p34030_v4"	"MTOR-AS1"
"246"	"p34030_v4"	"MTOR"
"247"	"p34031_v4"	"MTOR-AS1"
"248"	"p34031_v4"	"MTOR"
"249"	"p25678"	"DRAXIN"
"250"	"p33851"	"MTHFR"
"251"	"p36416_v4"	"CLCN6"
"252"	"p33736"	"VPS13D"
"253"	"p36827_v4"	"AC254633.1"
"254"	"p72"	"AL359771.1"
"255"	"p17354"	"AL359771.1"
"256"	"p17357"	"KAZN"
"257"	"RNA147276|p0380_imsncRNA797"	"KAZN"
"258"	"p75"	"TMEM51-AS1"
"259"	"p75"	"KAZN"
"260"	"p76"	"TMEM51-AS1"
"261"	"p76"	"KAZN"
"262"	"p82"	"SLC25A34-AS1"
"263"	"p26579"	"AL450998.2"
"264"	"p28370"	"ZBTB17"
"265"	"p822"	"ARHGEF19-AS1"
"266"	"p822"	"ARHGEF19"
"267"	"p823"	"LINC01772"
"268"	"p823"	"CROCCP3"
"269"	"p92"	"CROCCP3"
"270"	"p824"	"AL137802.2"
"271"	"p824"	"AL137802.3"
"272"	"p17631"	"AL137802.1"
"273"	"p17631"	"AL137802.3"
"274"	"p825"	"AL137802.1"
"275"	"p825"	"AL137802.3"
"276"	"p86"	"LINC01783"
"277"	"p87"	"NBPF1"
"278"	"p36715_v4"	"NBPF1"
"279"	"p30348"	"NBPF1"
"280"	"p33953_v4"	"NBPF1"
"281"	"p89"	"NBPF1"
"282"	"p90"	"CROCCP2"
"283"	"p91"	"CROCCP2"
"284"	"p92"	"CROCCP2"
"285"	"p39242_v4"	"AL137798.3"
"286"	"p39242_v4"	"CROCCP2"
"287"	"p39245_v4"	"AL137798.3"
"288"	"p39245_v4"	"CROCCP2"
"289"	"p39246_v4"	"CROCCP2"
"290"	"p39246_v4"	"CROCC"
"291"	"p33356"	"BX284668.3"
"292"	"p33356"	"CROCC"
"293"	"p25680"	"CROCC"
"294"	"p827"	"BX284668.2"
"295"	"p827"	"CROCC"
"296"	"p828"	"BX284668.2"
"297"	"p828"	"CROCC"
"298"	"p826"	"BX284668.2"
"299"	"p826"	"CROCC"
"300"	"p33955_v4"	"BX284668.5"
"301"	"p33955_v4"	"CROCC"
"302"	"p33954_v4"	"BX284668.5"
"303"	"p33954_v4"	"CROCC"
"304"	"p824"	"CROCC"
"305"	"p830"	"AL049569.1"
"306"	"p830"	"ATP13A2"
"307"	"p24792"	"LINC02783"
